BoroughName,Year,MajorText,CrimeCount,BoroughName_std,Code,Area_name,Population,Area_name_std,CrimeRate
Barking And Dagenham,2010,Arson And Criminal Damage,1790,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,979.0087399774665
Barking And Dagenham,2010,Burglary,3206,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,1753.464815847909
Barking And Dagenham,2010,Drug Offences,802,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,438.6396700904626
Barking And Dagenham,2010,Fraud And Forgery,457,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,249.94804143558778
Barking And Dagenham,2010,Miscellaneous Crimes Against Society,147,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,80.3990417746858
Barking And Dagenham,2010,Possession Of Weapons,102,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,55.787090211006465
Barking And Dagenham,2010,Public Order Offences,294,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,160.7980835493716
Barking And Dagenham,2010,Robbery,616,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,336.91027029392137
Barking And Dagenham,2010,Sexual Offences,160,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,87.50916111530427
Barking And Dagenham,2010,Theft,2990,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,1635.3274483422483
Barking And Dagenham,2010,Vehicle Offences,2196,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,1201.0632363075508
Barking And Dagenham,2010,Violence Against The Person,3073,barking and dagenham,E09000002,Barking and Dagenham,182838,barking and dagenham,1680.7228256708124
Barking And Dagenham,2011,Arson And Criminal Damage,2124,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,1133.2956279546254
Barking And Dagenham,2011,Burglary,4688,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,2501.3605950335614
Barking And Dagenham,2011,Drug Offences,977,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,521.2946461919346
Barking And Dagenham,2011,Fraud And Forgery,585,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,312.1365076993672
Barking And Dagenham,2011,Miscellaneous Crimes Against Society,168,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,89.63920221110033
Barking And Dagenham,2011,Possession Of Weapons,108,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,57.625201421421636
Barking And Dagenham,2011,Public Order Offences,381,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,203.2889050144597
Barking And Dagenham,2011,Robbery,997,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,531.9659797884941
Barking And Dagenham,2011,Sexual Offences,246,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,131.2574032376826
Barking And Dagenham,2011,Theft,3811,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,2033.4226168244245
Barking And Dagenham,2011,Vehicle Offences,2910,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,1552.6790382994163
Barking And Dagenham,2011,Violence Against The Person,3560,barking and dagenham,E09000002,Barking and Dagenham,187418,barking and dagenham,1899.497380187602
Barking And Dagenham,2012,Arson And Criminal Damage,1676,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,877.721276361751
Barking And Dagenham,2012,Burglary,4888,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,2559.8458227065867
Barking And Dagenham,2012,Drug Offences,957,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,501.18094360274205
Barking And Dagenham,2012,Fraud And Forgery,716,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,374.9692326223232
Barking And Dagenham,2012,Miscellaneous Crimes Against Society,134,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,70.17580610529514
Barking And Dagenham,2012,Possession Of Weapons,82,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,42.94340373607613
Barking And Dagenham,2012,Public Order Offences,442,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,231.47542013836156
Barking And Dagenham,2012,Robbery,733,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,383.8721333968756
Barking And Dagenham,2012,Sexual Offences,236,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,123.59321075260934
Barking And Dagenham,2012,Theft,3674,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,1924.0739673944352
Barking And Dagenham,2012,Vehicle Offences,2503,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,1310.8212140414455
Barking And Dagenham,2012,Violence Against The Person,3289,barking and dagenham,E09000002,Barking and Dagenham,190949,barking and dagenham,1722.4494498531021
Barking And Dagenham,2013,Arson And Criminal Damage,1564,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,803.1179874808078
Barking And Dagenham,2013,Burglary,4454,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,2287.140355651866
Barking And Dagenham,2013,Drug Offences,1099,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,564.3393019446341
Barking And Dagenham,2013,Fraud And Forgery,56,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,28.756142774248875
Barking And Dagenham,2013,Miscellaneous Crimes Against Society,201,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,103.21401245757184
Barking And Dagenham,2013,Possession Of Weapons,74,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,37.99918866597173
Barking And Dagenham,2013,Public Order Offences,557,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,286.02092009386826
Barking And Dagenham,2013,Robbery,523,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,268.56183340950287
Barking And Dagenham,2013,Sexual Offences,265,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,136.078175628142
Barking And Dagenham,2013,Theft,3378,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,1734.6116123466554
Barking And Dagenham,2013,Vehicle Offences,2749,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,1411.6185086858957
Barking And Dagenham,2013,Violence Against The Person,3382,barking and dagenham,E09000002,Barking and Dagenham,194741,barking and dagenham,1736.6656225448157
Barking And Dagenham,2014,Arson And Criminal Damage,1605,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,807.8194913505433
Barking And Dagenham,2014,Burglary,3798,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,1911.587805700538
Barking And Dagenham,2014,Drug Offences,813,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,409.1945460859761
Barking And Dagenham,2014,Fraud And Forgery,0,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,0.0
Barking And Dagenham,2014,Miscellaneous Crimes Against Society,249,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,125.32526688242075
Barking And Dagenham,2014,Possession Of Weapons,68,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,34.22537408837193
Barking And Dagenham,2014,Public Order Offences,743,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,373.9625433479462
Barking And Dagenham,2014,Robbery,493,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,248.1339621406965
Barking And Dagenham,2014,Sexual Offences,332,barking and dagenham,E09000002,Barking and Dagenham,198683,barking and dagenham,167.10035584322765
