BoroughName,Date,Year,Month,CrimeCount,Population,CrimeRate_per_1000,CrimeRate_per_100k
Barking And Dagenham,2010-04-01,2010,4,1793,182838.0,9.806495367483784,980.6495367483783
Barking And Dagenham,2010-05-01,2010,5,1772,182838.0,9.691639593519946,969.1639593519947
Barking And Dagenham,2010-06-01,2010,6,1895,182838.0,10.364366269593848,1036.4366269593847
Barking And Dagenham,2010-07-01,2010,7,1922,182838.0,10.512037978975924,1051.2037978975925
Barking And Dagenham,2010-08-01,2010,8,1835,182838.0,10.036206915411457,1003.6206915411457
Barking And Dagenham,2010-09-01,2010,9,1740,182838.0,9.516621271289338,951.6621271289339
Barking And Dagenham,2010-10-01,2010,10,1734,182838.0,9.483805335871098,948.3805335871099
Barking And Dagenham,2010-11-01,2010,11,1788,182838.0,9.779148754635251,977.914875463525
Barking And Dagenham,2010-12-01,2010,12,1354,182838.0,7.4054627593826226,740.5462759382623
Barking And Dagenham,2011-01-01,2011,1,1673,187418.0,8.926570553522073,892.6570553522074
Barking And Dagenham,2011-02-01,2011,2,1559,187418.0,8.318304538518179,831.8304538518179
Barking And Dagenham,2011-03-01,2011,3,1800,187418.0,9.604200236903607,960.4200236903606
Barking And Dagenham,2011-04-01,2011,4,1790,187418.0,9.550843568920808,955.0843568920808
Barking And Dagenham,2011-05-01,2011,5,1896,187418.0,10.116424249538465,1011.6424249538464
Barking And Dagenham,2011-06-01,2011,6,1750,187418.0,9.337416896989616,933.7416896989616
Barking And Dagenham,2011-07-01,2011,7,1761,187418.0,9.396109231770694,939.6109231770694
Barking And Dagenham,2011-08-01,2011,8,1840,187418.0,9.817626908834796,981.7626908834798
Barking And Dagenham,2011-09-01,2011,9,1539,187418.0,8.211591202552583,821.1591202552584
Barking And Dagenham,2011-10-01,2011,10,1595,187418.0,8.510388543256251,851.038854325625
Barking And Dagenham,2011-11-01,2011,11,1712,187418.0,9.134661558654985,913.4661558654985
Barking And Dagenham,2011-12-01,2011,12,1640,187418.0,8.750493549178842,875.0493549178841
Barking And Dagenham,2012-01-01,2012,1,1727,190949.0,9.044299786854081,904.4299786854082
Barking And Dagenham,2012-02-01,2012,2,1556,190949.0,8.148772708943225,814.8772708943226
Barking And Dagenham,2012-03-01,2012,3,1874,190949.0,9.81413885383008,981.413885383008
Barking And Dagenham,2012-04-01,2012,4,1548,190949.0,8.106876705298273,810.6876705298273
Barking And Dagenham,2012-05-01,2012,5,1642,190949.0,8.599154748126463,859.9154748126463
Barking And Dagenham,2012-06-01,2012,6,1549,190949.0,8.112113705753892,811.2113705753892
Barking And Dagenham,2012-07-01,2012,7,1586,190949.0,8.305882722611797,830.5882722611797
Barking And Dagenham,2012-08-01,2012,8,1510,190949.0,7.90787068798475,790.787068798475
Barking And Dagenham,2012-09-01,2012,9,1438,190949.0,7.530806655180179,753.0806655180179
Barking And Dagenham,2012-10-01,2012,10,1574,190949.0,8.243038717144369,824.3038717144368
Barking And Dagenham,2012-11-01,2012,11,1744,190949.0,9.133328794599606,913.3328794599605
